ID,Source,x,y,R,G,B,size
75000,2304182888391818240,333.29776845837,86.1081786583,69,94,211,4.8363134264698875
33901,1337664063942689792,255.40152067635,33.56826961228,70,102,221,4.816136720733985
61582,143119137916819456,43.42786006164,38.3371051709,46,180,242,4.787007692035632
715,107720086182025984,34.73750893038,28.64267933717,70,105,224,4.765209025768977
66667,2170789141296514560,321.71548773842005,48.83527975482,71,118,238,4.762524855558991
76079,2790497534190737152,16.42090226228,21.47308784144,70,100,218,4.737585329545883
33907,1338482130657660288,257.00846559135,35.93509929325,59,160,253,4.728458084838608
41540,441641698824102528,50.80513782718,49.21315985535999,68,84,195,4.6995365018878985
61502,2077737571001053312,293.67193781091,42.41237254162,71,115,235,4.69277116369018
1791,181233674136088960,79.75019112417,33.74826565641,64,64,162,4.6064947870550075
90298,1944475838303255424,354.78459611519,50.47172357565,69,89,203,4.604127641480796
117,61292039470080384,50.30689150696,21.14697815418,68,86,199,4.591012672901626
79406,982431540841766912,116.01737035553002,50.43367672266,70,102,221,4.577397522736363
20114,246890426876337280,58.99250823051,47.87132724861,68,84,195,4.564154732260825
49550,2001025095719170560,332.79222538642,50.82357353648,70,128,246,4.545677274449069
28086,670326064263850624,118.91615543264,19.88378998762,69,94,211,4.529656763543446
28561,767158369693232384,172.26686535352002,39.33702673194,70,100,218,4.5274282421435785
70180,3538455231113495040,169.44616386020002,-22.14598224322,195,37,3,4.509661194764858
80069,1278089775171112832,230.4521390587,32.93375458989,68,86,199,4.509319350705018
79773,1139165175331616768,121.19537462772,79.4793912453,69,92,207,4.489150114292029
35290,1756148222519224192,308.48799252185,13.02738034098,71,110,230,4.4741660966885615
39120,1847482042098648832,321.91711442063,27.60868742613,70,105,224,4.473105767972285
34353,1493793375056918016,219.70885000713,44.404420367940006,70,102,221,4.462797308062152
64086,2134604351047361920,286.22982658139,53.39675092071,69,94,211,4.435808419512142
26897,555179502886541824,50.08366448302999,77.73446502838,69,138,252,4.42735679941771
80822,1425769751741972352,249.05708191785,52.924542063,68,86,199,4.415837810776283
14979,418414069011230720,11.3213236408,55.22137253804,70,105,224,4.39165956259905
28452,712942516481108992,134.23554291481,32.91013378101,70,130,248,4.384009330817552
35252,1754631755466911360,309.45484189392005,11.377636970929998,70,105,224,4.373128180996002
20497,248963242512513792,53.0359901177,48.02335249619001,68,81,191,4.355359935002405
81178,1643563042195991424,241.58156798648,67.81041603789001,69,94,211,4.353625796460602
94890,244122956108424576,57.51818282639,44.96772963314,25,227,185,4.340362881212776
75221,2457106882592567936,21.71491675224,-13.05646836285,59,160,253,4.32969801833382
137,65287458566524928,56.20099235354,24.28926774501,69,94,211,4.3156434833705974
18092,218954825708955776,59.11955530747,35.08087855944,69,92,207,4.314881002950761
74728,2285649898351302656,337.47082277593,78.82419405233001,71,115,235,4.313555894863918
34795,1692365552989740928,184.70765754694,75.16057861697,71,110,230,4.299364299987131
55662,2037646495139760512,286.65760935463,28.628971799370003,62,155,254,4.278966143577869
34709,1663104284399348992,202.1121602264,59.94594122616,70,97,214,4.276970720884055
81264,1704123214941238656,242.70632973892003,75.87761974115,67,78,186,4.276857724356013
33900,1337345922829546752,260.91943127206,37.14681735989,70,100,218,4.271456677006145
81105,1596640009092360320,235.71102161497,52.36103145948,69,92,207,4.261945044984298
76,49415527182759296,64.85887727128001,21.14211470952,68,84,195,4.219512319875848
76201,2821368419085908352,354.48690399844,18.40074218645,70,97,214,4.209125556165724
28331,314142055583243904,15.70464916109,31.80412443948,69,89,203,4.197268812827575
29637,408620409702994432,27.99726590871,55.147346980440005,62,56,145,4.196141856693149
381,146100115802055168,66.82270498474,22.99626629352,67,78,186,4.179899834945789
32853,1031902077964410752,125.95187738551,53.21927485898,71,120,240,4.1744683704632894
25596,271495572960091648,65.04796937552,50.92090732614,70,100,218,4.15909490885429
4187,194828345140276736,80.70956456433001,41.02927072928,70,128,246,4.151517680422193
34866,1709205638721316352,246.42733119113,78.96432577552,68,143,254,4.1478777683092565
75006,2304407257482669952,351.7609711241,87.30758267869,67,145,254,4.144808020772993
10875,328788886199337344,30.74139776648,33.2841025013,70,107,227,4.1431905400639675
80821,1425757966351711616,249.04749062196,52.90017523699,69,89,203,4.142999218148514
35454,1767847850870013696,330.27254765434,13.119566794230002,55,168,250,4.131465017464187
35315,1757995264614220672,313.91088780118,12.56870049523,71,123,242,4.125181254627387
81693,2978712621830357504,71.03349954846999,-18.66666308674,70,105,224,4.123340156203955
31244,418916648901801728,6.065336989330001,52.01989950745,66,75,181,4.122381929187021
82762,1820154058573970944,299.43941003817,16.78924326804,69,89,203,4.111584387091309
43965,1963019544282480384,333.45563482111,45.440630098190006,70,100,218,4.110080215245436
87432,1834396891668192256,298.62958361209,24.31938109855,69,94,211,4.10972100636365
28708,355656522274764288,35.24278261404,50.15135542256,68,84,195,4.100369848003428
24764,65319619282119808,59.21732789669001,22.4774667858,55,168,250,4.09978040014781
78044,570248000507985920,67.0550922658,83.80784454081,66,73,177,4.08415492962999
76078,2790213894550349824,16.9885999223,20.73866924492,71,120,240,4.0739187949434825
73399,523449792035598848,17.85695970942,64.20259345453,69,89,203,4.065262350829692
41532,441592667477558912,52.21818892917,49.84827347027,69,92,207,4.0558251694172585
73959,2245998176160116736,310.79620624717,66.65760003893,69,140,253,4.053269559592534
